,Region,PHI,Barangay,Disease,No. of Cases,MW
3515,CARAGA,DINAGAT ISLANDS,MALINAO,Dengue,4,16
3516,CARAGA,DINAGAT ISLANDS,SANTA CRUZ,Dengue,5,16
3517,CARAGA,SURIGAO DEL NORTE,MARAYAG,Dengue,4,16
3518,CARAGA,SURIGAO DEL NORTE,CANLANIPA,Dengue,3,16
3519,CARAGA,SURIGAO DEL NORTE,SAN JUAN,Dengue,4,16
3520,CARAGA,SURIGAO DEL NORTE,TAFT,Dengue,3,16
3521,CARAGA,SURIGAO DEL NORTE,WASHINGTON,Dengue,5,16
3522,CARAGA,SURIGAO DEL SUR,ARAS-ASAN,Dengue,4,16
3523,CARAGA,SURIGAO DEL SUR,POBLACION,Dengue,4,16
3524,CARAGA,SURIGAO DEL SUR,SAN JOSE,Dengue,5,16
3525,CARAGA,SURIGAO DEL SUR,BAGONG LUNGSOD,Dengue,9,16
3526,CARAGA,SURIGAO DEL SUR,BUENAVISTA,Dengue,3,16
3527,CARAGA,SURIGAO DEL SUR,DAGOCDOC,Dengue,3,16
3528,CARAGA,SURIGAO DEL SUR,QUEZON,Dengue,3,16
3529,CARAGA,SURIGAO DEL SUR,TELAJE,Dengue,9,16
3530,CARAGA,SURIGAO DEL SUR,POBLACION,Dengue,3,16
3531,CARAGA,SURIGAO DEL SUR,TINA,Dengue,3,16
3532,NCR,CALOOCAN CITY,BRGY.. 1,Dengue,3,16
3533,NCR,CALOOCAN CITY,BRGY.. 133,Dengue,4,16
3534,NCR,CALOOCAN CITY,BRGY.. 163,Dengue,3,16
3535,NCR,CALOOCAN CITY,BRGY.. 167,Dengue,4,16
3536,NCR,CALOOCAN CITY,BRGY.. 175,Dengue,3,16
3537,NCR,CALOOCAN CITY,BRGY.. 176-B,Dengue,3,16
3538,NCR,CALOOCAN CITY,BRGY.. 176-C,Dengue,5,16
3539,NCR,CALOOCAN CITY,BRGY.. 176-D,Dengue,3,16
3540,NCR,CALOOCAN CITY,BRGY.. 176-E,Dengue,3,16
3541,NCR,CALOOCAN CITY,BRGY.. 177,Dengue,4,16
3542,NCR,CALOOCAN CITY,BRGY.. 178,Dengue,6,16
3543,NCR,CALOOCAN CITY,BRGY.. 179,Dengue,3,16
3544,NCR,CALOOCAN CITY,BRGY.. 180,Dengue,5,16
3545,NCR,CALOOCAN CITY,BRGY.. 185,Dengue,4,16
3546,NCR,CALOOCAN CITY,BRGY.. 186,Dengue,12,16
3547,NCR,CALOOCAN CITY,BRGY.. 188,Dengue,8,16
3548,NCR,LAS PIÑAS CITY,ALMANZA DOS,Dengue,4,16
3549,NCR,LAS PIÑAS CITY,ALMANZA UNO,Dengue,3,16
3550,NCR,LAS PIÑAS CITY,B. F. INTERNATIONAL VILLAGE,Dengue,7,16
3551,NCR,LAS PIÑAS CITY,DANIEL FAJARDO,Dengue,6,16
3552,NCR,LAS PIÑAS CITY,MANUYO DOS,Dengue,3,16
3553,NCR,LAS PIÑAS CITY,PAMPLONA UNO,Dengue,3,16
3554,NCR,LAS PIÑAS CITY,PULANG LUPA DOS,Dengue,3,16
3555,NCR,LAS PIÑAS CITY,TALON DOS,Dengue,6,16
3556,NCR,LAS PIÑAS CITY,TALON SINGKO,Dengue,3,16
3557,NCR,LAS PIÑAS CITY,TALON TRES,Dengue,3,16
3558,NCR,LAS PIÑAS CITY,TALON UNO,Dengue,4,16
3559,NCR,MAKATI CITY,GUADALUPE NUEVO,Dengue,4,16
3560,NCR,MAKATI CITY,POBLACION,Dengue,4,16
3561,NCR,MAKATI CITY,SAN ISIDRO,Dengue,3,16
3562,NCR,MALABON CITY,BARITAN,Dengue,3,16
3563,NCR,MALABON CITY,BAYAN-BAYANAN,Dengue,3,16
3564,NCR,MALABON CITY,CATMON,Dengue,3,16
3565,NCR,MALABON CITY,CONCEPCION,Dengue,4,16
3566,NCR,MALABON CITY,DAMPALIT,Dengue,7,16
3567,NCR,MALABON CITY,FLORES,Dengue,3,16
3568,NCR,MALABON CITY,IBABA,Dengue,3,16
3569,NCR,MALABON CITY,LONGOS,Dengue,12,16
3570,NCR,MALABON CITY,SAN AGUSTIN,Dengue,8,16
3571,NCR,MALABON CITY,TAÑONG,Dengue,11,16
3572,NCR,MALABON CITY,TONSUYA,Dengue,14,16
3573,NCR,MANDALUYONG CITY,ADDITION HILLS,Dengue,12,16
3574,NCR,MANDALUYONG CITY,BARANGKA DRIVE,Dengue,3,16
3575,NCR,MANDALUYONG CITY,PLAINVIEW,Dengue,4,16
3576,NCR,MANDALUYONG CITY,POBLACION,Dengue,3,16
3577,NCR,MANILA CITY,BRGY.. 1,Dengue,5,16
3578,NCR,MANILA CITY,BRGY.. 103,Dengue,4,16
3579,NCR,MANILA CITY,BRGY.. 116,Dengue,3,16
3580,NCR,MANILA CITY,BRGY.. 128,Dengue,8,16
3581,NCR,MANILA CITY,BRGY.. 14,Dengue,3,16
3582,NCR,MANILA CITY,BRGY.. 20,Dengue,6,16
3583,NCR,MANILA CITY,BRGY.. 35,Dengue,4,16
3584,NCR,MANILA CITY,BRGY.. 568,Dengue,3,16
3585,NCR,MANILA CITY,BRGY.. 649,Dengue,3,16
3586,NCR,MANILA CITY,BRGY.. 93,Dengue,3,16
3587,NCR,MANILA CITY,BRGY.. 95,Dengue,3,16
3588,NCR,MARIKINA CITY,BARANGKA,Dengue,7,16
3589,NCR,MARIKINA CITY,CALUMPANG,Dengue,3,16
3590,NCR,MARIKINA CITY,CONCEPCION DOS,Dengue,3,16
3591,NCR,MARIKINA CITY,FORTUNE,Dengue,7,16
3592,NCR,MARIKINA CITY,MALANDAY,Dengue,3,16
3593,NCR,MARIKINA CITY,MARIKINA HEIGHTS,Dengue,4,16
3594,NCR,MARIKINA CITY,NANGKA,Dengue,4,16
3595,NCR,MARIKINA CITY,TUMANA,Dengue,3,16
3596,NCR,MUNTINLUPA CITY,ALABANG,Dengue,6,16
3597,NCR,MUNTINLUPA CITY,PUTATAN,Dengue,3,16
3598,NCR,MUNTINLUPA CITY,SUCAT,Dengue,5,16
3599,NCR,MUNTINLUPA CITY,TUNASAN,Dengue,3,16
3600,NCR,NAVOTAS CITY,"NORTH BAY BLVD., NORTH",Dengue,4,16
3601,NCR,NAVOTAS CITY,"NORTH BAY BLVD., SOUTH",Dengue,8,16
3602,NCR,NAVOTAS CITY,SAN JOSE,Dengue,4,16
3603,NCR,NAVOTAS CITY,TANGOS,Dengue,3,16
3604,NCR,NAVOTAS CITY,TANZA,Dengue,5,16
3605,NCR,PARAÑAQUE CITY,B. F. HOMES,Dengue,5,16
3606,NCR,PARAÑAQUE CITY,DON BOSCO,Dengue,4,16
3607,NCR,PARAÑAQUE CITY,MOONWALK,Dengue,4,16
3608,NCR,PARAÑAQUE CITY,SAN ISIDRO,Dengue,4,16
3609,NCR,PARAÑAQUE CITY,SAN MARTIN DE PORRES,Dengue,3,16
3610,NCR,PARAÑAQUE CITY,SANTO NIÑO,Dengue,3,16
3611,NCR,PARAÑAQUE CITY,SUN VALLEY,Dengue,5,16
3612,NCR,PASIG CITY,BAMBANG,Dengue,8,16
3613,NCR,PASIG CITY,BUTING,Dengue,3,16
3614,NCR,PASIG CITY,CANIOGAN,Dengue,6,16
3615,NCR,PASIG CITY,KALAWAAN,Dengue,8,16
3616,NCR,PASIG CITY,KAPITOLYO,Dengue,3,16
3617,NCR,PASIG CITY,MALINAO,Dengue,5,16
3618,NCR,PASIG CITY,MANGGAHAN,Dengue,10,16
3619,NCR,PASIG CITY,MAYBUNGA,Dengue,4,16
3620,NCR,PASIG CITY,PALATIW,Dengue,5,16
3621,NCR,PASIG CITY,PINAGBUHATAN,Dengue,42,16
3622,NCR,PASIG CITY,ROSARIO,Dengue,11,16
3623,NCR,PASIG CITY,SAN JOAQUIN,Dengue,3,16
3624,NCR,PASIG CITY,SAN MIGUEL,Dengue,11,16
3625,NCR,PASIG CITY,SANTO TOMAS,Dengue,4,16
3626,NCR,PASIG CITY,SANTOLAN,Dengue,9,16
3627,NCR,SAN JUAN CITY,LITTLE BAGUIO,Dengue,3,16
3628,NCR,SAN JUAN CITY,SALAPAN,Dengue,3,16
3629,NCR,VALENZUELA CITY,BALANGKAS,Dengue,3,16
3630,NCR,VALENZUELA CITY,BIGNAY,Dengue,10,16
3631,NCR,VALENZUELA CITY,DALANDANAN,Dengue,4,16
3632,NCR,VALENZUELA CITY,GEN. T. DE LEON,Dengue,7,16
3633,NCR,VALENZUELA CITY,KARUHATAN,Dengue,7,16
3634,NCR,VALENZUELA CITY,MALINTA,Dengue,3,16
3635,NCR,VALENZUELA CITY,MARULAS,Dengue,9,16
3636,NCR,VALENZUELA CITY,PASOLO,Dengue,5,16
3637,NCR,VALENZUELA CITY,PUNTURIN,Dengue,5,16
3638,NCR,PASAY CITY,BRGY.. 180,Dengue,3,16
3639,NCR,PASAY CITY,BRGY.. 181,Dengue,4,16
3640,NCR,PASAY CITY,BRGY.. 183,Dengue,3,16
3641,NCR,PASAY CITY,BRGY.. 184,Dengue,4,16
3642,NCR,QUEZON CITY,APOLONIO SAMSON,Dengue,4,16
3643,NCR,QUEZON CITY,BAESA,Dengue,20,16
3644,NCR,QUEZON CITY,BAGBAG,Dengue,3,16
3645,NCR,QUEZON CITY,BAGONG SILANGAN,Dengue,13,16
3646,NCR,QUEZON CITY,BAGUMBAYAN,Dengue,3,16
3647,NCR,QUEZON CITY,BAGUMBUHAY,Dengue,3,16
3648,NCR,QUEZON CITY,BAHAY TORO,Dengue,13,16
3649,NCR,QUEZON CITY,BATASAN HILLS,Dengue,48,16
3650,NCR,QUEZON CITY,BUNGAD,Dengue,3,16
3651,NCR,QUEZON CITY,CAPRI,Dengue,3,16
3652,NCR,QUEZON CITY,CENTRAL,Dengue,4,16
3653,NCR,QUEZON CITY,COMMONWEALTH,Dengue,26,16
3654,NCR,QUEZON CITY,CULIAT,Dengue,14,16
3655,NCR,QUEZON CITY,DAMAYANG LAGI,Dengue,12,16
3656,NCR,QUEZON CITY,DOÑA IMELDA,Dengue,5,16
3657,NCR,QUEZON CITY,FAIRVIEW,Dengue,7,16
3658,NCR,QUEZON CITY,GREATER LAGRO,Dengue,6,16
3659,NCR,QUEZON CITY,GULOD,Dengue,12,16
3660,NCR,QUEZON CITY,HOLY SPIRIT,Dengue,16,16
3661,NCR,QUEZON CITY,IMMACULATE CONCEPCION,Dengue,3,16
3662,NCR,QUEZON CITY,KALIGAYAHAN,Dengue,5,16
3663,NCR,QUEZON CITY,KAMUNING,Dengue,4,16
3664,NCR,QUEZON CITY,KAUNLARAN,Dengue,4,16
3665,NCR,QUEZON CITY,LIBIS,Dengue,4,16
3666,NCR,QUEZON CITY,LOYOLA HEIGHTS,Dengue,6,16
3667,NCR,QUEZON CITY,MARILAG,Dengue,3,16
3668,NCR,QUEZON CITY,MATANDANG BALARA,Dengue,15,16
3669,NCR,QUEZON CITY,NAGKAISANG NAYON,Dengue,9,16
3670,NCR,QUEZON CITY,NORTH FAIRVIEW,Dengue,3,16
3671,NCR,QUEZON CITY,NOVALICHES PROPER,Dengue,4,16
3672,NCR,QUEZON CITY,OBRERO,Dengue,3,16
3673,NCR,QUEZON CITY,OLD CAPITOL SITE,Dengue,3,16
3674,NCR,QUEZON CITY,PAANG BUNDOK,Dengue,3,16
3675,NCR,QUEZON CITY,PALTOK,Dengue,3,16
3676,NCR,QUEZON CITY,PANSOL,Dengue,15,16
3677,NCR,QUEZON CITY,PASONG PUTIK PROPER,Dengue,7,16
3678,NCR,QUEZON CITY,PASONG TAMO,Dengue,13,16
3679,NCR,QUEZON CITY,PAYATAS,Dengue,24,16
3680,NCR,QUEZON CITY,RAMON MAGSAYSAY,Dengue,5,16
3681,NCR,QUEZON CITY,SAN ANTONIO,Dengue,4,16
3682,NCR,QUEZON CITY,SAN BARTOLOME,Dengue,7,16
3683,NCR,QUEZON CITY,SAN ISIDRO,Dengue,5,16
3684,NCR,QUEZON CITY,SANGANDAAN,Dengue,4,16
3685,NCR,QUEZON CITY,SANTA LUCIA,Dengue,4,16
3686,NCR,QUEZON CITY,SANTA MONICA,Dengue,7,16
3687,NCR,QUEZON CITY,SANTO CRISTO,Dengue,3,16
3688,NCR,QUEZON CITY,SANTO DOMINGO,Dengue,4,16
3689,NCR,QUEZON CITY,SANTO NIÑO,Dengue,4,16
3690,NCR,QUEZON CITY,SAUYO,Dengue,3,16
3691,NCR,QUEZON CITY,SIKATUNA VILLAGE,Dengue,3,16
3692,NCR,QUEZON CITY,SOCORRO,Dengue,5,16
3693,NCR,QUEZON CITY,TANDANG SORA,Dengue,10,16
3694,NCR,QUEZON CITY,TATALON,Dengue,24,16
3695,NCR,QUEZON CITY,U.P. CAMPUS,Dengue,5,16
3696,NCR,QUEZON CITY,UNANG SIGAW,Dengue,6,16
3697,NCR,QUEZON CITY,VETERANS VILLAGE,Dengue,3,16
3698,NCR,TAGUIG CITY,CENTRAL BICUTAN,Dengue,3,16
3699,NCR,TAGUIG CITY,CENTRAL SIGNAL VILLAGE,Dengue,11,16
3700,NCR,TAGUIG CITY,FORT BONIFACIO,Dengue,3,16
3701,NCR,TAGUIG CITY,HAGONOY,Dengue,4,16
3702,NCR,TAGUIG CITY,IBAYO-TIPAS,Dengue,3,16
3703,NCR,TAGUIG CITY,LOWER BICUTAN,Dengue,4,16
3704,NCR,TAGUIG CITY,NORTH SIGNAL VILLAGE,Dengue,6,16
3705,NCR,TAGUIG CITY,PINAGSAMA,Dengue,5,16
3706,NCR,TAGUIG CITY,SOUTH SIGNAL VILLAGE,Dengue,4,16
3707,NCR,TAGUIG CITY,UPPER BICUTAN,Dengue,13,16
3708,NCR,TAGUIG CITY,USUSAN,Dengue,4,16
3709,NCR,TAGUIG CITY,WESTERN BICUTAN,Dengue,6,16
3710,NIR,BACOLOD CITY,ESTEFANIA,Dengue,3,16
3711,NIR,BACOLOD CITY,MANSILINGAN,Dengue,7,16
3712,NIR,BACOLOD CITY,PAHANOCOY,Dengue,3,16
3713,NIR,BACOLOD CITY,SINGCANG-AIRPORT,Dengue,4,16
3714,NIR,BACOLOD CITY,TANGUB,Dengue,5,16
3715,NIR,BACOLOD CITY,VILLAMONTE,Dengue,3,16
3716,NIR,NEGROS OCCIDENTAL,CALUMANGAN,Dengue,3,16
3717,NIR,NEGROS OCCIDENTAL,JORGE L. ARANETA,Dengue,3,16
3718,NIR,NEGROS OCCIDENTAL,MA-AO BARRIO,Dengue,3,16
3719,NIR,NEGROS OCCIDENTAL,SAGASA,Dengue,3,16
3720,NIR,NEGROS OCCIDENTAL,TALOC,Dengue,4,16
3721,NIR,NEGROS OCCIDENTAL,POBLACION,Dengue,4,16
3722,NIR,NEGROS OCCIDENTAL,BANTAYAN,Dengue,4,16
3723,NIR,NEGROS OCCIDENTAL,LOCOTAN,Dengue,4,16
3724,NIR,NEGROS OCCIDENTAL,TABUGON,Dengue,3,16
3725,NIR,NEGROS OCCIDENTAL,TAPI,Dengue,3,16
3726,NIR,NEGROS OCCIDENTAL,GALICIA,Dengue,3,16
3727,NIR,NEGROS OCCIDENTAL,AYUNGON,Dengue,5,16
3728,NIR,NEGROS OCCIDENTAL,NAGASI,Dengue,6,16
3729,NIR,NEGROS OCCIDENTAL,ROBLES,Dengue,3,16
3730,NIR,NEGROS OCCIDENTAL,MAMBULAC,Dengue,3,16
3731,NIR,NEGROS OCCIDENTAL,MABINI,Dengue,3,16
3732,NIR,NEGROS ORIENTAL,BANAYBANAY,Dengue,3,16
3733,NIR,NEGROS ORIENTAL,MANDU-AO,Dengue,3,16
3734,NIR,NEGROS ORIENTAL,BONAWON,Dengue,3,16
3735,NIR,NEGROS ORIENTAL,CANAWAY,Dengue,6,16
3736,BARMM,LANAO DEL SUR,RAPASUN MSU,"Hand, Foot, and Mouth Disease",2,16
3737,BARMM,MAGUINDANAO DEL SUR,MALATIMON,"Hand, Foot, and Mouth Disease",2,16
3738,BARMM,SULU,BUS-BUS,"Hand, Foot, and Mouth Disease",5,16
3739,BARMM,SULU,SAN RAYMUNDO,"Hand, Foot, and Mouth Disease",2,16
3740,BARMM,SULU,TAKUT-TAKUT,"Hand, Foot, and Mouth Disease",2,16
3741,BARMM,TAWI-TAWI,SAPA-SAPA,"Hand, Foot, and Mouth Disease",3,16
3742,CAR,BENGUET,LOACAN,"Hand, Foot, and Mouth Disease",2,16
3743,CAR,BENGUET,POBLACION,"Hand, Foot, and Mouth Disease",2,16
3744,CAR,BENGUET,TALOY SUR,"Hand, Foot, and Mouth Disease",3,16
3745,CAR,BAGUIO CITY,GIBRALTAR,"Hand, Foot, and Mouth Disease",2,16
3746,CAR,IFUGAO,NUNGAWA,"Hand, Foot, and Mouth Disease",3,16
3747,CAR,MOUNTAIN PROVINCE,TONGLAYAN,"Hand, Foot, and Mouth Disease",2,16
3748,CAR,MOUNTAIN PROVINCE,BANTAY,"Hand, Foot, and Mouth Disease",4,16
3749,CAR,MOUNTAIN PROVINCE,PALITUD,"Hand, Foot, and Mouth Disease",2,16
3750,IV-B,PUERTO PRINCESA CITY,LUZVIMINDA,"Hand, Foot, and Mouth Disease",2,16
3751,IV-B,MARINDUQUE,BICAS-BICAS,"Hand, Foot, and Mouth Disease",3,16
3752,IV-B,MARINDUQUE,HINADHARAN,"Hand, Foot, and Mouth Disease",2,16
3753,IV-B,OCCIDENTAL MINDORO,BARAHAN,"Hand, Foot, and Mouth Disease",4,16
3754,IV-B,OCCIDENTAL MINDORO,KURTINGANAN,"Hand, Foot, and Mouth Disease",2,16
3755,IV-B,OCCIDENTAL MINDORO,LUMANGBAYAN,"Hand, Foot, and Mouth Disease",2,16
3756,IV-B,OCCIDENTAL MINDORO,POBLACION II,"Hand, Foot, and Mouth Disease",6,16
3757,IV-B,ORIENTAL MINDORO,BANGKATAN,"Hand, Foot, and Mouth Disease",2,16
3758,IV-B,ORIENTAL MINDORO,BARAS,"Hand, Foot, and Mouth Disease",2,16
3759,IV-B,ORIENTAL MINDORO,BAYANAN,"Hand, Foot, and Mouth Disease",5,16
3760,IV-B,ORIENTAL MINDORO,CATWIRAN I,"Hand, Foot, and Mouth Disease",2,16
3761,IV-B,ORIENTAL MINDORO,CATWIRAN II,"Hand, Foot, and Mouth Disease",4,16
3762,IV-B,ORIENTAL MINDORO,MANGANGAN I,"Hand, Foot, and Mouth Disease",5,16
3763,IV-B,ORIENTAL MINDORO,MAYABIG,"Hand, Foot, and Mouth Disease",4,16
3764,IV-B,ORIENTAL MINDORO,POBLACION,"Hand, Foot, and Mouth Disease",4,16
3765,IV-B,ORIENTAL MINDORO,HAGUPIT,"Hand, Foot, and Mouth Disease",20,16
3766,IV-B,ORIENTAL MINDORO,PALHI,"Hand, Foot, and Mouth Disease",2,16
3767,IV-B,ORIENTAL MINDORO,BARCENAGA,"Hand, Foot, and Mouth Disease",12,16
3768,IV-B,ORIENTAL MINDORO,MAHABANG PARANG,"Hand, Foot, and Mouth Disease",6,16
3769,IV-B,ORIENTAL MINDORO,NAG-IBA II,"Hand, Foot, and Mouth Disease",7,16
3770,IV-B,ORIENTAL MINDORO,PINAGSABANGAN I,"Hand, Foot, and Mouth Disease",7,16
3771,IV-B,ORIENTAL MINDORO,PIÑAHAN,"Hand, Foot, and Mouth Disease",2,16
3772,IV-B,ORIENTAL MINDORO,SANTA MARIA,"Hand, Foot, and Mouth Disease",2,16
3773,IV-B,ORIENTAL MINDORO,BIGAAN,"Hand, Foot, and Mouth Disease",3,16
3774,IV-B,ORIENTAL MINDORO,LUMANGBAYAN,"Hand, Foot, and Mouth Disease",2,16
3775,IV-B,ORIENTAL MINDORO,SAN GABRIEL,"Hand, Foot, and Mouth Disease",2,16
3776,IV-B,PALAWAN,CABIGAAN,"Hand, Foot, and Mouth Disease",2,16
3777,IV-B,PALAWAN,RABOR,"Hand, Foot, and Mouth Disease",2,16
3778,IV-B,PALAWAN,SALANG,"Hand, Foot, and Mouth Disease",2,16
3779,IV-B,PALAWAN,CATADMAN,"Hand, Foot, and Mouth Disease",3,16
3780,IV-B,PALAWAN,LUBID,"Hand, Foot, and Mouth Disease",2,16
3781,IV-B,PALAWAN,DUMARAN,"Hand, Foot, and Mouth Disease",4,16
3782,IV-B,PALAWAN,BALAGUEN,"Hand, Foot, and Mouth Disease",9,16
3783,IV-B,PALAWAN,IGABAS,"Hand, Foot, and Mouth Disease",3,16
3784,IV-B,PALAWAN,LOS ANGELES,"Hand, Foot, and Mouth Disease",2,16
3785,IV-B,PALAWAN,RIZAL,"Hand, Foot, and Mouth Disease",4,16
3786,IV-B,PALAWAN,NARRA,"Hand, Foot, and Mouth Disease",2,16
3787,IV-B,PALAWAN,ALFONSO XIII,"Hand, Foot, and Mouth Disease",4,16
3788,IV-B,ROMBLON,BANICE,"Hand, Foot, and Mouth Disease",2,16
3789,IV-B,ROMBLON,HAMBI-AN,"Hand, Foot, and Mouth Disease",9,16
3790,IV-B,ROMBLON,MAINIT,"Hand, Foot, and Mouth Disease",3,16
3791,IV-B,ROMBLON,POBLACION,"Hand, Foot, and Mouth Disease",9,16
3792,IV-B,ROMBLON,TAN-AG,"Hand, Foot, and Mouth Disease",9,16
3793,IV-B,ROMBLON,TOCTOC,"Hand, Foot, and Mouth Disease",2,16
3794,IV-B,ROMBLON,TUNGONAN,"Hand, Foot, and Mouth Disease",4,16
3795,IV-B,ROMBLON,CAMBAJAO,"Hand, Foot, and Mouth Disease",3,16
3796,IV-B,ROMBLON,POBLACION,"Hand, Foot, and Mouth Disease",2,16
3797,IV-B,ROMBLON,AGUTAY,"Hand, Foot, and Mouth Disease",4,16
3798,IV-B,ROMBLON,SILUM,"Hand, Foot, and Mouth Disease",2,16
3799,IV-B,ROMBLON,MAYHA,"Hand, Foot, and Mouth Disease",3,16
3800,IV-B,ROMBLON,PROGRESO ESTE,"Hand, Foot, and Mouth Disease",3,16
3801,IV-B,ROMBLON,AGBUDIA,"Hand, Foot, and Mouth Disease",2,16
3802,IV-B,ROMBLON,DOÑA JUANA,"Hand, Foot, and Mouth Disease",2,16
3803,IV-B,ROMBLON,AZARGA,"Hand, Foot, and Mouth Disease",2,16
3804,IV-B,ROMBLON,MABULO,"Hand, Foot, and Mouth Disease",3,16
3805,IV-B,ROMBLON,CONCEPCION NORTE,"Hand, Foot, and Mouth Disease",5,16
3806,NCR,LAS PIÑAS CITY,PILAR,"Hand, Foot, and Mouth Disease",2,16
3807,NCR,MAKATI CITY,SINGKAMAS,"Hand, Foot, and Mouth Disease",7,16
3808,NCR,MANDALUYONG CITY,ADDITION HILLS,"Hand, Foot, and Mouth Disease",2,16
3809,NCR,MANDALUYONG CITY,HULO,"Hand, Foot, and Mouth Disease",3,16
3810,NCR,MARIKINA CITY,NANGKA,"Hand, Foot, and Mouth Disease",2,16
3811,NCR,MARIKINA CITY,TUMANA,"Hand, Foot, and Mouth Disease",2,16
3812,NCR,MUNTINLUPA CITY,BAYANAN,"Hand, Foot, and Mouth Disease",3,16
3813,NCR,MUNTINLUPA CITY,PUTATAN,"Hand, Foot, and Mouth Disease",2,16
3814,NCR,PASIG CITY,MANGGAHAN,"Hand, Foot, and Mouth Disease",2,16
3815,NCR,PASIG CITY,ROSARIO,"Hand, Foot, and Mouth Disease",3,16
3816,NCR,PASIG CITY,SANTOLAN,"Hand, Foot, and Mouth Disease",2,16
3817,NCR,TAGUIG CITY,BAGUMBAYAN,"Hand, Foot, and Mouth Disease",2,16
3818,NCR,TAGUIG CITY,CALZADA,"Hand, Foot, and Mouth Disease",3,16
3819,NCR,TAGUIG CITY,CENTRAL BICUTAN,"Hand, Foot, and Mouth Disease",2,16
3820,NCR,TAGUIG CITY,EAST REMBO,"Hand, Foot, and Mouth Disease",2,16
3821,NCR,TAGUIG CITY,FORT BONIFACIO,"Hand, Foot, and Mouth Disease",6,16
3822,NCR,TAGUIG CITY,HAGONOY,"Hand, Foot, and Mouth Disease",2,16
3823,NCR,TAGUIG CITY,KATUPARAN,"Hand, Foot, and Mouth Disease",2,16
3824,NCR,TAGUIG CITY,LIGID-TIPAS,"Hand, Foot, and Mouth Disease",3,16
3825,NCR,TAGUIG CITY,LOWER BICUTAN,"Hand, Foot, and Mouth Disease",3,16
3826,NCR,TAGUIG CITY,SAN MIGUEL,"Hand, Foot, and Mouth Disease",2,16
3827,NCR,TAGUIG CITY,SANTA ANA,"Hand, Foot, and Mouth Disease",5,16
3828,NCR,TAGUIG CITY,WAWA,"Hand, Foot, and Mouth Disease",4,16
3829,NCR,VALENZUELA CITY,GEN. T. DE LEON,"Hand, Foot, and Mouth Disease",2,16
3830,NCR,VALENZUELA CITY,MARULAS,"Hand, Foot, and Mouth Disease",2,16
3831,NCR,VALENZUELA CITY,UGONG,"Hand, Foot, and Mouth Disease",2,16
3832,NCR,PASAY CITY,BRGY.. 183,"Hand, Foot, and Mouth Disease",3,16
3833,NCR,PASAY CITY,BRGY.. 201,"Hand, Foot, and Mouth Disease",6,16
3834,NCR,PASAY CITY,BRGY.. 66,"Hand, Foot, and Mouth Disease",4,16
3835,NCR,PATEROS,SANTA ANA,"Hand, Foot, and Mouth Disease",3,16
3836,NCR,QUEZON CITY,BAGONG SILANGAN,"Hand, Foot, and Mouth Disease",2,16
3837,NCR,QUEZON CITY,BAHAY TORO,"Hand, Foot, and Mouth Disease",2,16
3838,NCR,QUEZON CITY,BATASAN HILLS,"Hand, Foot, and Mouth Disease",2,16
3839,NCR,QUEZON CITY,E. RODRIGUEZ,"Hand, Foot, and Mouth Disease",2,16
3840,NCR,QUEZON CITY,GULOD,"Hand, Foot, and Mouth Disease",3,16
3841,NCR,QUEZON CITY,LOYOLA HEIGHTS,"Hand, Foot, and Mouth Disease",2,16
3842,NCR,QUEZON CITY,PASONG TAMO,"Hand, Foot, and Mouth Disease",3,16
3843,NCR,QUEZON CITY,PAYATAS,"Hand, Foot, and Mouth Disease",3,16
3844,NCR,QUEZON CITY,SAN ANTONIO,"Hand, Foot, and Mouth Disease",2,16
3845,NCR,QUEZON CITY,U.P. CAMPUS,"Hand, Foot, and Mouth Disease",2,16
3846,NIR,BACOLOD CITY,BATA,"Hand, Foot, and Mouth Disease",2,16
3847,NIR,NEGROS OCCIDENTAL,BUSAY,"Hand, Foot, and Mouth Disease",5,16
3848,NIR,NEGROS OCCIDENTAL,DULAO,"Hand, Foot, and Mouth Disease",4,16
3849,NIR,NEGROS OCCIDENTAL,SAGASA,"Hand, Foot, and Mouth Disease",2,16
3850,NIR,NEGROS OCCIDENTAL,TABUNAN,"Hand, Foot, and Mouth Disease",4,16
3851,NIR,NEGROS OCCIDENTAL,TALOC,"Hand, Foot, and Mouth Disease",2,16
3852,NIR,NEGROS OCCIDENTAL,SAN MIGUEL,"Hand, Foot, and Mouth Disease",6,16
3853,NIR,NEGROS OCCIDENTAL,DOS HERMANAS,"Hand, Foot, and Mouth Disease",6,16
3854,NIR,NEGROS OCCIDENTAL,BRGY.. I-A,"Hand, Foot, and Mouth Disease",2,16
3855,NIR,NEGROS OCCIDENTAL,SAN PABLO,"Hand, Foot, and Mouth Disease",2,16
3856,NIR,NEGROS ORIENTAL,TAMPOCON II,"Hand, Foot, and Mouth Disease",2,16
3857,NIR,SIQUIJOR,BONTOD,"Hand, Foot, and Mouth Disease",2,16
3858,NIR,SIQUIJOR,CANTUGBAS,"Hand, Foot, and Mouth Disease",3,16
3859,NIR,SIQUIJOR,SAWANG,"Hand, Foot, and Mouth Disease",2,16
3860,NIR,SIQUIJOR,CATICUGAN,"Hand, Foot, and Mouth Disease",2,16
3861,NIR,SIQUIJOR,POLANGYUTA,"Hand, Foot, and Mouth Disease",2,16
3862,I,ILOCOS NORTE,CATANGRARAN,"Hand, Foot, and Mouth Disease",2,16
